index,default,San Francisco,Austin,Boston,Chicago,NYC,Oklahoma City,Orlando,Seattle
-1,10,10,10,10,10,10,10,10,10
0,4.7,8.6,7,-0.9,-4.3,0.9,1.3,13.4,4
1,4.7,8.3,6.7,-1.1,-4.5,0.8,1,13.1,3.9
2,4.5,8.1,6.6,-1.2,-4.6,0.6,0.8,12.8,3.8
3,4.3,7.8,6.4,-1.4,-4.7,0.4,0.6,12.6,3.8
4,4.2,7.7,6.1,-1.5,-4.9,0.4,0.3,12.3,3.7
5,4,7.7,6.2,-1.5,-4.9,0.3,0.1,12.3,3.7
6,3.8,7.7,5.7,-1.6,-5,0.3,-0.1,12.2,3.7
7,3.6,8,5.8,-1.4,-4.8,0.5,-0.1,12.4,3.7
8,3.5,8.9,7.7,-0.7,-4.1,1.2,1.1,14.3,4
9,4.1,9.7,9.7,0,-3.3,1.9,2.8,16.4,4.5
10,4.5,10.4,11.3,0.7,-2.4,2.6,4.4,18.3,5.2
11,6.5,10.9,12.7,1.4,-1.8,3.2,5.8,19.6,5.8
12,7.2,11.3,13.9,1.8,-1.4,3.6,6.9,20.3,6.2
13,8.4,11.7,14.7,2.2,-1.1,3.8,7.6,20.8,6.4
14,9.5,11.8,15.1,2.1,-1.2,3.7,8,20.8,6.3
15,9.8,11.7,15.1,1.8,-1.6,3.4,7.8,20.6,5.9
16,10.2,11.1,14.4,1.3,-2.2,2.8,6.8,19.7,5.4
17,9.3,10.6,12.5,0.9,-2.6,2.5,5,17.9,5.1
18,8.7,10.3,10.7,0.7,-2.9,2.3,4.1,16.8,4.9
19,8,9.9,9.6,0.3,-3.1,2.1,3.4,15.8,4.8
20,7.4,9.7,8.9,0,-3.3,1.7,2.9,15.1,4.7
21,6.8,9.4,8.4,-0.3,-3.6,1.5,2.4,14.6,4.6
22,6.1,9.1,8,-0.6,-3.8,1.2,2.2,14.1,4.4
23,5.5,8.6,8.1,-1.2,-4.1,0.5,1.8,13.7,4.1
24,4.8,8.7,7.2,-1.1,-4.2,0.8,1.5,13.3,4.1
25,4,8.3,6.9,-1.3,-4.4,0.7,1.2,12.9,4.1
26,3.1,8.2,6.7,-1.4,-4.5,0.5,1.1,12.7,3.9
27,2.2,7.9,6.6,-1.6,-4.6,0.3,0.8,12.4,3.9
28,1.3,7.8,6.3,-1.7,-4.8,0.3,0.5,12.2,3.8
29,0.4,7.8,6.4,-1.7,-4.9,0.2,0.3,12.1,3.9
30,-0.5,7.8,5.9,-1.7,-4.9,0.2,0.1,12,3.8
31,-1.4,8.1,6,-1.5,-4.8,0.4,0.1,12.3,3.8
32,-2.3,8.9,7.9,-0.9,-4.1,1.1,1.2,14.3,4.2
33,-1.5,9.8,9.9,-0.2,-3.2,1.8,2.9,16.4,4.7
34,0.6,10.4,11.7,0.6,-2.4,2.5,4.6,18.3,5.3
35,3.1,10.9,13.1,1.2,-1.8,3.1,6,19.6,5.9
36,5.1,11.4,14.3,1.7,-1.3,3.5,7.1,20.3,6.3
37,5.7,11.7,15,2,-1.1,3.7,7.8,20.8,6.5
38,6.6,11.9,15.4,2,-1.2,3.7,8.1,20.9,6.4
39,6.7,11.7,15.4,1.7,-1.5,3.3,7.9,20.6,6.1
40,6.3,11.2,14.8,1.2,-2.1,2.8,7,19.7,5.5
41,5,10.7,12.8,0.8,-2.5,2.5,5.1,18,5.2
42,4.4,10.3,11,0.6,-2.8,2.3,4.2,16.7,5.1
43,3.9,10,9.9,0.2,-3,2.1,3.5,15.8,4.9
44,3.4,9.7,9.2,-0.1,-3.3,1.7,3,15.1,4.8
45,2.8,9.4,8.7,-0.4,-3.4,1.4,2.5,14.5,4.7
46,2.3,9.2,8.2,-0.6,-3.7,1.2,2.2,14,4.5
